Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional Info,Author
Aboleth,Large,Aberration,LE,17,135,"10, swim 40",21,9,15,18,15,18,"CON, INT, WIS","History, Perception",None,Darkvision 120,"Deep Speech, Telepathy 120",10,"Amphibious,  Mucous Cloud, Probing Telepathy, Legendary, Lair",Monster Manual,,Wizards of the Coast
Acolyte,Medium,Humanoid,ANY,10,9,30,10,10,10,10,14,11,None,"Medicine, Religion",None,Normal,Any,0.25,Normal Spellcasting,Monster Manual,,Wizards of the Coast
Adult Black Dragon,Huge,Dragon,CE,19,195,"40, 80 fly, swim 40",23,14,21,14,13,17,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 60, darkvision 120","Common, Draconic",14,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Adult Blue Dragon,Huge,Dragon,LE,19,225,"40, 40 burrow, 80 fly",25,10,23,16,15,19,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 60, darkvision 120","Common, Draconic",16,"Legendary, Legendary Resistance, Lair",Monster Manual,,Wizards of the Coast
Adult Brass Dragon,Huge,Dragon,CG,18,172,"40, burrow 30, fly 80",23,10,21,14,13,17,"DEX, CON, WIS, CHA","History, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, darkvision 120,","Common, Draconic",13,"Legendary, Legendary Resistance, Lair",Monster Manual,,Wizards of the Coast
Adult Bronze Dragon,Huge,Dragon,LG,19,212,"40, 80 fly, swim 40",25,10,23,16,15,19,"DEX, CON, WIS, CHA","Insight, Perception, Stealth",Lightningimmu,"Blindsight 60, darkvision 120","Common, Draconic",15,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Adult Copper Dragon,Huge,Dragon,CG,18,184,"40, climb 40, fly 80",23,12,21,18,15,17,"DEX, CON, WIS, CHA","Deception, Perception, Stealth",Acidimmu,"Blindsight 60, darkvision 120","Common, Draconic",14,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Adult Gold Dragon,Huge,Dragon,LG,19,256,"40, fly 80, swim 40",27,14,25,16,15,24,"DEX, CON, WIS, CHA","Insight, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, darkvision 120","Common, Draconic",17,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Adult Green Dragon,Huge,Dragon,LE,19,207,"40, 80 fly, swim 40",23,12,21,18,15,17,"DEX, CON, WIS, CHA","Deception, Insight, Perception, Persuasion, Stealth","Poisonimmu, poisonedimmu","Blindsight 60, darkvision 120","Common, Draconic",15,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Adult Red Dragon,Huge,Dragon,CE,19,256,"40, climb 40, fly 80",27,10,25,16,13,21,"DEX, CON, WIS, CHA","Perception, Stealth",Fireimmu,"Blindsight 60, darkvision 120","Common, Draconic",17,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Adult Silver Dragon,Huge,Dragon,LG,19,243,"40, fly 80",27,10,25,16,13,21,"DEX, CON, WIS, CHA","Arcana, History, Perception, Stealth",Coldimmu,"Blindsight 60, darkvision 120","Common, Draconic",16,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Adult White Dragon,Huge,Dragon,CE,18,200,"40, burrow 30, fly 80,  swim 40",22,10,22,8,12,12,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 60, darkvision 120","Common, Draconic",13,"Ice Walk, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Air Elemental,Large,Elemental,N,15,90,fly 90,14,20,14,6,10,6,None,None,"Lightningres, thunderres, nonmagicalres, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Auran,5,Air Form,Monster Manual,,Wizards of the Coast
Ancient Black Dragon,Gargantuan,Dragon,CE,22,367,"40, 80 fly, swim 40",27,14,25,16,15,19,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 60, darkvision 120","Common, Draconic",21,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Ancient Blue Dragon,Gargantuan,Dragon,LE,22,481,"40, 30 burrow, 80 fly",29,10,27,18,17,21,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 60, darkvision 120","Common, Draconic",23,"Legendary, Legendary Resistance, Lair",Monster Manual,,Wizards of the Coast
Ancient Brass Dragon,Gargantuan,Dragon,CG,20,297,"40, burrow 40, fly 80",27,10,25,16,15,19,"DEX, CON, WIS, CHA","History, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, darkvision 120,","Common, Draconic",20,"Legendary, Legendary Resistance, Lair",Monster Manual,,Wizards of the Coast
Ancient Bronze Dragon,Gargantuan,Dragon,LG,22,444,"40, fly 80, swim 40",29,10,27,18,17,21,"DEX, CON, WIS, CHA","Insight, Perception, Stealth",Lightningimmu,"Blindsight 60, darkvision 120","Common, Draconic",22,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Ancient Copper Dragon,Gargantuan,Dragon,CG,21,350,"40, climb 40, fly 80",27,12,25,20,17,19,"DEX, CON, WIS, CHA","Deception, Perception, Stealth",Acidimmu,"Blindsight 60, darkvision 120","Common, Draconic",21,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Ancient Gold Dragon,Gargantuan,Dragon,LG,22,546,"40, fly 80, swim 40",30,14,29,18,17,28,"DEX, CON, WIS, CHA","Insight, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, darkvision 120","Common, Draconic",24,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Ancient Green Dragon,Gargantuan,Dragon,LE,21,385,"40, 80 fly, swim 40",27,12,25,20,17,19,"DEX, CON, WIS, CHA","Deception, Insight, Perception, Persuasion, Stealth","Poisonimmu, poisonedimmu","Blindsight 60, darkvision 120","Common, Draconic",22,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Ancient Red Dragon,Gargantuan,Dragon,CE,22,546,"40, climb 40, fly 80",30,10,29,18,15,23,"DEX, CON, WIS, CHA","Perception, Stealth",Fireimmu,"Blindsight 60, darkvision 120","Common, Draconic",24,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Ancient Silver Dragon,Gargantuan,Dragon,LG,22,487,"40, fly 80",30,10,29,18,15,23,"DEX, CON, WIS, CHA","Arcana, History, Perception, Stealth",Coldimmu,"Blindsight 60, darkvision 120","Common, Draconic",23,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Ancient White Dragon,Gargantuan,Dragon,CE,20,333,"40, burrow 40, fly 80, swim 40",26,10,26,10,13,14,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 60, darkvision 120","Common, Draconic",20,"Ice Walk, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
Androsphinx,Large,Monstrosity,LN,17,199,"40, fly 60",22,10,20,16,18,23,"DEX, CON, INT, WIS","Arcana, Perception, Religion","Psychicimmu, nonmagicalimmu, charmedimmu, frightenedimmu",Truesight 120,"Common, Own",17,"Inscrutable, Magic Weapons, Normal Spellcasting, Lair, Legendary",Monster Manual,,Wizards of the Coast
Ankheg,Large,Monstrosity,U,14,39,"30, 10 burrow",17,11,13,1,13,6,None,None,None,"Darkvision 60, tremorsense 60",None,2,None,Monster Manual,,Wizards of the Coast
Ape,Medium,Beast,U,12,19,"30, climb 30",16,14,14,6,12,7,None,"Athletics, Perception",None,Normal,None,0.5,None,Monster Manual,,Wizards of the Coast
Archmage,Medium,Humanoid,ANY,12,99,30,10,14,12,20,15,16,"INT, WIS","Arcana, History","Spellres, nonmagicalres",Normal,Any,12,"Magic Resistance, Normal Spellcasting",Monster Manual,,Wizards of the Coast
